"id","slug","name","summary","excerpt","categories","locations","tags","websiteUrls","profileUrl","lastUpdated"
"organization:able","able","Able","Able (able.co) is a Vancouver, BC software development company that combines world-class engineering talent with AI tools to deliver faster, higher-quality software at reduced cost. Their AI-powered SDLC approach increases coding velocity by up to 55% and reduces development cycles by up to 40%, with an Applied AI Lab offering practical AI change management and hands-on expertise for enterprise clients.","Able (able.co) is a Vancouver, BC software development company that combines world-class engineering talent with AI tools to deliver faster, higher-quality software at reduced c...","Applied AI|Software Development","Vancouver, BC","agentic-ai|applied-ai|enterprise|sdlc|software-development","https://able.co/","/bc-ai-directory/organizations/able","2026-05-11"
"organization:http-able-co","http-able-co","Able (able.co)","Able (able.co) is a company offering AI-powered SDLC and software development services. While the company is AI-relevant, no BC organizational footprint has been confirmed — able.co's headquarters appears to be in Latin America with distributed teams, and no BC office has been independently verified.","Able (able.co) is a company offering AI-powered SDLC and software development services. While the company is AI-relevant, no BC organizational footprint has been confirmed — abl...","","","","","/bc-ai-directory/organizations/http-able-co","2026-05-11"
"organization:accelerate-okanagan","accelerate-okanagan","Accelerate Okanagan","Accelerate Okanagan is a Kelowna-based nonprofit supporting technology startups and scaleups across the Okanagan and wider British Columbia innovation ecosystem. Its public ecosystem work includes support for companies working in AI and other advanced technology sectors.","Accelerate Okanagan is a Kelowna-based nonprofit supporting technology startups and scaleups across the Okanagan and wider British Columbia innovation ecosystem. Its public ecos...","Accelerator|Ecosystem support|Startup support","Kelowna, BC|Okanagan, BC","ai-startups|okanagan|startup-support|technology-ecosystem","https://accelerateokanagan.com","/bc-ai-directory/organizations/accelerate-okanagan","2026-05-09"
"organization:access2innovate-hub","access2innovate-hub","Access2Innovate Hub","Access2Innovate Hub is referenced in BC AI ecosystem sources. No public organizational footprint for this entity in BC has been found.","Access2Innovate Hub is referenced in BC AI ecosystem sources. No public organizational footprint for this entity in BC has been found.","","","","","/bc-ai-directory/organizations/access2innovate-hub","2026-05-11"
"organization:active-witness","active-witness","Active Witness","Active Witness is a Vancouver access-control company whose SIMA platform combines cloud software, digital credentials, and AI-powered facial authentication for facility security.","Active Witness is a Vancouver access-control company whose SIMA platform combines cloud software, digital credentials, and AI-powered facial authentication for facility security.","Access control|Computer vision|Physical security","Vancouver, BC","access-control|biometrics|computer-vision|facility-security|physical-security","https://www.activewitness.com","/bc-ai-directory/organizations/active-witness","2026-05-08"
"organization:adastra","adastra","Adastra","Adastra is a data, analytics, cloud, and AI consultancy with a British Columbia office in Burnaby. Its public services include AI analytics, machine learning, AI strategy, data platforms, and governance work for enterprise clients.","Adastra is a data, analytics, cloud, and AI consultancy with a British Columbia office in Burnaby. Its public services include AI analytics, machine learning, AI strategy, data...","AI consulting|Data analytics|Enterprise AI","Burnaby, BC|Canada","cloud|data-analytics|enterprise-ai|machine-learning","https://adastracorp.com","/bc-ai-directory/organizations/adastra","2026-05-09"
"organization:adauris","adauris","Adauris","Adauris is a Vancouver-founded AI audio platform that turns written content into podcast-like audio and is now part of Landbase.","Adauris is a Vancouver-founded AI audio platform that turns written content into podcast-like audio and is now part of Landbase.","Audio|Generative AI|Marketing technology","Vancouver, BC","acquired|audio-generation|content-automation|generative-ai|marketing-technology","https://www.adauris.ai","/bc-ai-directory/organizations/adauris","2026-05-08"
"organization:adgscribe","adgscribe","ADGScribe","ADGScribe is a Vancouver health AI company offering AI-powered clinical documentation and medical scribe software for clinicians.","ADGScribe is a Vancouver health AI company offering AI-powered clinical documentation and medical scribe software for clinicians.","AI scribe|Clinical documentation|Health AI","Vancouver, BC","ai-scribe|clinical-documentation|health-ai|medical-software","https://www.adgscribe.ai","/bc-ai-directory/organizations/adgscribe","2026-05-08"
"organization:advertising-intelligence-adint-ai","advertising-intelligence-adint-ai","ADINT.AI","ADINT.AI is a Vancouver, BC company that provides AI-powered QR code engagement analytics for agencies and advertisers running campaigns across print, out-of-home, retail, and event media. The platform delivers real-time scan activity, geo insights, engagement mapping, and AI recommendations for live campaign optimization, using privacy-safe aggregated signals that do not identify individuals.","ADINT.AI is a Vancouver, BC company that provides AI-powered QR code engagement analytics for agencies and advertisers running campaigns across print, out-of-home, retail, and e...","AdTech|Applied AI|MarTech","Vancouver, BC","adtech|analytics|applied-ai|martech|privacy-safe|qr-code","https://www.adint.ai/","/bc-ai-directory/organizations/advertising-intelligence-adint-ai","2026-05-11"
"organization:http-adscens-io","http-adscens-io","Adscens.io","Adscens.io is referenced in BC AI ecosystem sources. No public information has been found — domain may be parked, inactive, or very early stage.","Adscens.io is referenced in BC AI ecosystem sources. No public information has been found — domain may be parked, inactive, or very early stage.","","","","","/bc-ai-directory/organizations/http-adscens-io","2026-05-11"
"organization:advanced-intelligent-systems","advanced-intelligent-systems","Advanced Intelligent Systems","Advanced Intelligent Systems is a Burnaby robotics company developing autonomous robots and navigation systems for agriculture, disinfection, material handling, and service applications.","Advanced Intelligent Systems is a Burnaby robotics company developing autonomous robots and navigation systems for agriculture, disinfection, material handling, and service appl...","Autonomous systems|Industrial automation|Robotics","Burnaby, BC","autonomous-mobile-robots|industrial-automation|navigation|robotics","https://www.ai-systems.ca","/bc-ai-directory/organizations/advanced-intelligent-systems","2026-05-08"
"organization:advize","advize","Advize","Advize is a Vancouver-based AI company located at 68 Water Street that applies deep learning, NLP, and sentiment analysis to help organizations understand and act on data. Originally focused on voice-of-customer analytics, the company now also offers AI-powered stormwater records analysis. Advize was recognized as a New Ventures BC Top 26 company and was accepted into Techstars.","Advize is a Vancouver-based AI company located at 68 Water Street that applies deep learning, NLP, and sentiment analysis to help organizations understand and act on data. Origi...","AI|Data Analytics|SaaS","Vancouver, BC","data analytics|deep learning|NLP|sentiment analysis","https://advize.ai","/bc-ai-directory/organizations/advize","2026-05-10"
"organization:aech-ai-inc","aech-ai-inc","Aech AI Inc.","Aech AI Inc. is a Delta, BC company building Agent Aech, a Microsoft 365-native AI teammate for business workflows. Its public materials describe message-driven agents that process work, run domain apps, schedule tasks, and return results through familiar workplace tools.","Aech AI Inc. is a Delta, BC company building Agent Aech, a Microsoft 365-native AI teammate for business workflows. Its public materials describe message-driven agents that proc...","Agentic AI|Enterprise AI|Workflow automation","Delta, BC","ai-agents|enterprise-ai|microsoft-365|workflow-automation","https://aech.ai|https://agentaech.com","/bc-ai-directory/organizations/aech-ai-inc","2026-05-08"
"organization:aeon-health","aeon-health","Aeon Health","Aeon Health is a Surrey, BC company (co-founded 2022 by a practicing physician and an engineer) offering a cloud-native EMR platform purpose-built for Canadian primary care clinics. The platform features an integrated AI Scribe for automated clinical documentation, faster charting, intelligent scheduling, and provincial billing support (MSP, OHIP, AHCIP) with all patient data stored in Canada.","Aeon Health is a Surrey, BC company (co-founded 2022 by a practicing physician and an engineer) offering a cloud-native EMR platform purpose-built for Canadian primary care clin...","Applied AI|Health Tech","Surrey, BC","applied-ai|clinical-documentation|emr|health-tech|primary-care|saas","https://www.aeon.health/","/bc-ai-directory/organizations/aeon-health","2026-05-11"
"organization:aeroqube","aeroqube","aeroqube","aeroqube is a Vancouver-based digital transformation and product development company headquartered at 555 West Hastings Street, founded in 2017. The company offers AI Labs as a Service, LLM Orchestration, and enterprise software development across healthcare, nonprofits, and startups. It is a member of the BC Tech Association.","aeroqube is a Vancouver-based digital transformation and product development company headquartered at 555 West Hastings Street, founded in 2017. The company offers AI Labs as a...","AI|Digital Transformation|Software Development","Vancouver, BC","AI labs|digital transformation|enterprise software|LLM","https://aeroqube.com","/bc-ai-directory/organizations/aeroqube","2026-05-10"
"organization:aether-global-innovations-cnq-aeth","aether-global-innovations-cnq-aeth","Aether Global Innovations","Aether Global Innovations is a Vancouver public technology company developing UAV and counter-drone systems that use automation, sensor fusion, and AI analytics for critical-infrastructure security.","Aether Global Innovations is a Vancouver public technology company developing UAV and counter-drone systems that use automation, sensor fusion, and AI analytics for critical-inf...","Autonomous systems|Drones|Security AI","Vancouver, BC","counter-uas|critical-infrastructure|drone-management|sensor-fusion|uav","https://aethergic.com","/bc-ai-directory/organizations/aether-global-innovations-cnq-aeth","2026-05-08"
"organization:affinity-bridge","affinity-bridge","Affinity Bridge","Affinity Bridge is a Certified B Corp digital agency founded in Vancouver in 2005 that builds websites, apps, and digital strategies for nonprofits, Indigenous organizations, educational institutions, and government clients. The company does not develop AI products or AI-native services and was rejected for the BC AI directory on the basis of no AI relevance in public sources.","Affinity Bridge is a Certified B Corp digital agency founded in Vancouver in 2005 that builds websites, apps, and digital strategies for nonprofits, Indigenous organizations, ed...","","","","","/bc-ai-directory/organizations/affinity-bridge","2026-05-11"
"organization:agentic-communications-inc","agentic-communications-inc","Agentic Communications Inc.","Agentic Communications Inc. is a Vancouver web development agency at 1705-1330 Harwood St, Vancouver, BC, providing design, strategy, and development solutions to progressive and social change organizations. The company is a Centre for Digital Media industry partner. No AI product, service, or research activity is publicly documented; the firm's work is focused on web design and digital strategy rather than AI.","Agentic Communications Inc. is a Vancouver web development agency at 1705-1330 Harwood St, Vancouver, BC, providing design, strategy, and development solutions to progressive an...","","","","","/bc-ai-directory/organizations/agentic-communications-inc","2026-05-11"
"organization:agents-republic","agents-republic","Agents Republic","Agents Republic is a Vancouver conversational AI company building virtual agents, chatbots, and automation tools for customer service and contact-centre workflows.","Agents Republic is a Vancouver conversational AI company building virtual agents, chatbots, and automation tools for customer service and contact-centre workflows.","Automation|Conversational AI|Customer experience","Vancouver, BC","chatbots|contact-center|conversational-ai|customer-service|virtual-agents","https://agentsrepublic.com","/bc-ai-directory/organizations/agents-republic","2026-05-08"
"organization:agi-labs-inc","agi-labs-inc","AGI Labs Inc.","AGI Labs Inc. is a BC-based artificial general intelligence research company developing biologically-inspired AI architectures for highly adaptive robotic systems. The company's GPAC control system uses 3D sparse networks of hyper-neurons capable of self-organizing emergent behaviours, with an emphasis on real-time continuous learning via evolutionary mechanisms and reinforcement learning. AGI Labs also researches...","AGI Labs Inc. is a BC-based artificial general intelligence research company developing biologically-inspired AI architectures for highly adaptive robotic systems. The company's...","AI Research|Deep Tech|Robotics","British Columbia","agi|ai-research|deep-tech|neuromorphic|reinforcement-learning|robotics","https://www.agilabs.ca/","/bc-ai-directory/organizations/agi-labs-inc","2026-05-11"
"organization:ahead-io","ahead-io","Ahead.IO","Ahead.IO is a Vancouver-based boutique design and inventions studio founded by Alex M. Santo, focused on software development for the arts and entertainment industry. Products include Cezanne Studio (2D/3D creative review platform), Shottio (web-based storyboard collaboration tool), and Stella (a tendon-based quadruped robot made in Canada). The studio has also contributed to open-source projects like xSTUDIO with...","Ahead.IO is a Vancouver-based boutique design and inventions studio founded by Alex M. Santo, focused on software development for the arts and entertainment industry. Products i...","Creative Tech|Robotics|Software Development","Vancouver, BC","arts and entertainment|creative tools|open source|robotics|storyboarding","https://ahead.io","/bc-ai-directory/organizations/ahead-io","2026-05-10"
"organization:ai-for-ecommerce-non-profit-society","ai-for-ecommerce-non-profit-society","AI for Ecommerce Non-Profit Society","AI for Ecommerce Non-Profit Society is a Vancouver-based ecosystem organization supporting AI education, collaboration, and responsible AI adoption for ecommerce and retail communities.","AI for Ecommerce Non-Profit Society is a Vancouver-based ecosystem organization supporting AI education, collaboration, and responsible AI adoption for ecommerce and retail comm...","AI education|Ecommerce|Ecosystem organization","Vancouver, BC","ai-adoption|ai-education|community|ecommerce|retail","https://www.aiforecommerce.org","/bc-ai-directory/organizations/ai-for-ecommerce-non-profit-society","2026-05-08"
"organization:ai-forester","ai-forester","AI Forester","AI Forester is a BC-based forestry technology company founded by a registered professional forester who won Forest Professionals BC's 2023 Climate Change Innovator Award, applying AI and IoT analytics to forest management under its Forestry 5.0 framework. The company offers AI-powered forest health assessment, predictive growth modelling, climate adaptation planning, and automated inventory tools, and has built pr...","AI Forester is a BC-based forestry technology company founded by a registered professional forester who won Forest Professionals BC's 2023 Climate Change Innovator Award, applyi...","Applied AI|CleanTech|Forest Tech","British Columbia","applied-ai|cleantech|climate|forest-tech|iot|remote-sensing","https://aiforester.com/","/bc-ai-directory/organizations/ai-forester","2026-05-11"
"organization:ai-homedesign","ai-homedesign","AI HomeDesign","AI HomeDesign is a Vancouver real-estate technology platform offering AI-powered virtual staging, item removal, image enhancement, and interior-design visualization tools for property listings.","AI HomeDesign is a Vancouver real-estate technology platform offering AI-powered virtual staging, item removal, image enhancement, and interior-design visualization tools for pr...","Computer vision|Generative AI|Real estate technology","Vancouver, BC","computer-vision|generative-ai|image-editing|real-estate|virtual-staging","https://aihomedesign.com","/bc-ai-directory/organizations/ai-homedesign","2026-05-08"
"organization:ai-network-of-bc-ainbc","ai-network-of-bc-ainbc","AI Network of BC","AI Network of BC is a British Columbia AI and machine-learning ecosystem organization connecting industry, academia, government, and community partners to advance responsible AI innovation.","AI Network of BC is a British Columbia AI and machine-learning ecosystem organization connecting industry, academia, government, and community partners to advance responsible AI...","AI education|Ecosystem organization|Industry association","British Columbia","ai-ecosystem|ai-education|community|industry-association|responsible-ai","https://ainbc.ai","/bc-ai-directory/organizations/ai-network-of-bc-ainbc","2026-05-08"
"organization:ai-players","ai-players","AI Players","AI Players is an Abbotsford, BC-based AI software development and consulting firm that has been a BC Tech Association member since 2023. Since early 2025, the company collaborates with Innovation UBC to help Venture Founder AI startups bring products to market. Services include fractional AI product leadership, agile AI delivery, and startup consulting for LLM-driven solutions.","AI Players is an Abbotsford, BC-based AI software development and consulting firm that has been a BC Tech Association member since 2023. Since early 2025, the company collaborat...","AI Consulting|Software Development","Abbotsford, BC","AI consulting|LLM|product management|startup mentorship","https://aiplayers.ca","/bc-ai-directory/organizations/ai-players","2026-05-10"
"organization:llm-ai-meetup-vancouver","llm-ai-meetup-vancouver","AI Professionals Vancouver","AI Professionals Vancouver is a Vancouver Meetup community for practitioners, researchers, and builders interested in artificial intelligence, machine learning, data science, deep learning, and related technologies.","AI Professionals Vancouver is a Vancouver Meetup community for practitioners, researchers, and builders interested in artificial intelligence, machine learning, data science, de...","AI community|Meetup group|Professional network","Vancouver, BC","ai-community|artificial-intelligence|data-science|machine-learning|meetup","https://www.meetup.com/vancouver-llm-ai-meetup/","/bc-ai-directory/organizations/llm-ai-meetup-vancouver","2026-05-09"
"organization:ai-scout-solutions","ai-scout-solutions","AI Scout Solutions","AI Scout Solutions is a Chilliwack, BC-based AI implementation and consulting firm founded in 2023, offering end-to-end AI services including workflow automation, custom GPT chatbot development, and scalable AI system integration for small and medium businesses across multiple industries. The company takes a client-centric approach beginning with operational consultation to identify AI application areas, followed...","AI Scout Solutions is a Chilliwack, BC-based AI implementation and consulting firm founded in 2023, offering end-to-end AI services including workflow automation, custom GPT cha...","AI Implementation|Applied AI|Consulting","Chilliwack, BC","ai-implementation|applied-ai|automation|chatbot|consulting|sme","https://aiscout.framer.ai/","/bc-ai-directory/organizations/ai-scout-solutions","2026-05-11"
"organization:ai-ml-innovations-cnq-aiml","ai-ml-innovations-cnq-aiml","AI/ML Innovations","AI/ML Innovations is a Victoria public digital-health company developing AI-powered cardiovascular diagnostics, ECG analytics, and predictive health platforms.","AI/ML Innovations is a Victoria public digital-health company developing AI-powered cardiovascular diagnostics, ECG analytics, and predictive health platforms.","Digital health|Health AI|Medical diagnostics","Victoria, BC","cardiology|digital-health|ecg-analysis|health-ai|predictive-analytics","https://aiml.health","/bc-ai-directory/organizations/ai-ml-innovations-cnq-aiml","2026-05-08"
"organization:ai4eyes","ai4eyes","Ai4Eyes","AI4Eyes is a Vancouver-based medical AI company founded in 2020 that developed OSDx, the world's first AI-enhanced medical device for Dry Eye Disease diagnosis. The device consolidates 10 diagnostic tests into a single five-minute scan with 89%+ accuracy and is compatible with major slit lamp manufacturers. In January 2026 the company raised $6.5M CAD to support regulatory approvals, clinical validation, and globa...","AI4Eyes is a Vancouver-based medical AI company founded in 2020 that developed OSDx, the world's first AI-enhanced medical device for Dry Eye Disease diagnosis. The device conso...","AI|Medical Devices|MedTech","Vancouver, BC","computer vision|diagnostic device|dry eye disease|medical AI|ophthalmology","https://www.aiforeyes.com","/bc-ai-directory/organizations/ai4eyes","2026-05-10"
"organization:aibin-ai","aibin-ai","AIBIN.AI","AIBIN.AI is a Metro Vancouver applied AI and drone-services company focused on computer vision, research partnerships, and UAV-based infrastructure and environmental inspection.","AIBIN.AI is a Metro Vancouver applied AI and drone-services company focused on computer vision, research partnerships, and UAV-based infrastructure and environmental inspection.","Applied AI|Computer vision|Drones","Metro Vancouver, BC","applied-ai|computer-vision|drones|infrastructure-inspection|research-partnerships","https://aibin.ai","/bc-ai-directory/organizations/aibin-ai","2026-05-08"
"organization:aibolster","aibolster","AIBolster","AIBolster has only a bare LinkedIn company stub — no website, no location data, and no product description findable in public sources.","AIBolster has only a bare LinkedIn company stub — no website, no location data, and no product description findable in public sources.","","","","","/bc-ai-directory/organizations/aibolster","2026-05-11"
"organization:aicamp","aicamp","AICamp","AICamp operates both a centralized enterprise AI platform (aicamp.so) — giving teams private, collaborative access to 100+ LLMs including GPT-4, Claude, and Gemini with RAG capabilities — and a global developer community (aicamp.ai) with 5,000+ members in Vancouver and 500K+ worldwide. The Vancouver chapter hosts regular AI meetups and workshops. The platform is aimed at helping businesses become AI-first with gov...","AICamp operates both a centralized enterprise AI platform (aicamp.so) — giving teams private, collaborative access to 100+ LLMs including GPT-4, Claude, and Gemini with RAG capa...","AI Platform|Developer Community|SaaS","Vancouver, BC","developer community|enterprise AI|LLM|RAG|team collaboration","https://aicamp.ai|https://aicamp.so","/bc-ai-directory/organizations/aicamp","2026-05-10"
"organization:aidant-intelligent-technology","aidant-intelligent-technology","AiDANT Intelligent Technology","AiDANT Intelligent Technology is a British Columbia-based AI company founded in 2018 that develops edge-based computer vision software for AXIS surveillance cameras. Their products (Aware, Care, Markers) detect persons, vehicles, and objects in real time without server dependence, using embedded ML directly on cameras. AiDANT won the AXIS 2022 Technology Partner of the Year Award and serves security and safety mar...","AiDANT Intelligent Technology is a British Columbia-based AI company founded in 2018 that develops edge-based computer vision software for AXIS surveillance cameras. Their produ...","AI|Computer Vision|Security Tech","Vancouver, BC","AXIS cameras|computer vision|edge AI|object detection|surveillance","https://www.aidant.ai","/bc-ai-directory/organizations/aidant-intelligent-technology","2026-05-10"
"organization:aiex","aiex","AIEX","AIEX is a Vancouver-based AI industrial solutions company founded in 2019, headquartered at 133 East Esplanade Ave, North Vancouver, BC, specializing in no-code computer vision and deep learning tools for industrial quality control and inspection. The platform serves sectors including automotive, railway, agriculture, medical, manufacturing, and safety, providing capabilities in digital twin modelling, autonomous...","AIEX is a Vancouver-based AI industrial solutions company founded in 2019, headquartered at 133 East Esplanade Ave, North Vancouver, BC, specializing in no-code computer vision...","Applied AI|Computer Vision|Industrial AI","North Vancouver, BC","applied-ai|computer-vision|deep-learning|industrial-ai|manufacturing|no-code","https://aiex.ai/","/bc-ai-directory/organizations/aiex","2026-05-11"
"organization:aim-defence-inc","aim-defence-inc","AIM Defence Inc.","AIM Defence is an Australian tactical laser and counter-drone systems manufacturer (founded 2017, Melbourne) that has opened a Canadian subsidiary in Vancouver, BC following a win at a Canadian military counter-drone technology contest. The company's Fractl suite uses AI-enabled precision tracking fused with high-power laser systems to defeat weaponized and surveillance drones at 1.5 km range with millimetre accur...","AIM Defence is an Australian tactical laser and counter-drone systems manufacturer (founded 2017, Melbourne) that has opened a Canadian subsidiary in Vancouver, BC following a w...","Applied AI|Defence Tech|Hardware","Vancouver, BC","applied-ai|counter-drone|deep-tech|defence-tech|hardware|laser-systems","https://www.aimdefence.com/","/bc-ai-directory/organizations/aim-defence-inc","2026-05-11"
"organization:aim-lab-artificial-intelligence-in-medicine-lab","aim-lab-artificial-intelligence-in-medicine-lab","AIM Lab (Artificial Intelligence in Medicine Lab)","AIM Lab is a UBC-affiliated artificial intelligence in medicine research lab focused on clinical AI, machine learning, and medical imaging applications.","AIM Lab is a UBC-affiliated artificial intelligence in medicine research lab focused on clinical AI, machine learning, and medical imaging applications.","Health AI|Medical imaging|Research lab","Vancouver, BC","clinical-ai|health-ai|machine-learning|medical-imaging|ubc","https://aimlab.ca","/bc-ai-directory/organizations/aim-lab-artificial-intelligence-in-medicine-lab","2026-05-08"
"organization:aima-inc","aima-inc","AIMA Inc.","AIMA Inc. is a Vancouver femtech company incorporated at 3200-650 West Georgia Street, Vancouver, BC (2019), developing clinically tested patented period and pelvic pain management products including the OVY CBD/CBG suppository line. The company is focused on women's health and pharmaceutical products rather than AI or technology; no AI relevance was identified in public sources.","AIMA Inc. is a Vancouver femtech company incorporated at 3200-650 West Georgia Street, Vancouver, BC (2019), developing clinically tested patented period and pelvic pain managem...","","","","","/bc-ai-directory/organizations/aima-inc","2026-05-11"
"organization:aintend","aintend","Aintend","Aintend is a company referenced in BC AI ecosystem sources. No public website, product description, BC address, or independent coverage has been found to confirm BC organizational AI relevance.","Aintend is a company referenced in BC AI ecosystem sources. No public website, product description, BC address, or independent coverage has been found to confirm BC organization...","","","","","/bc-ai-directory/organizations/aintend","2026-05-11"
"organization:airtight-energy-reports","airtight-energy-reports","Airtight Energy Reports Ltd.","Airtight Energy Reports Ltd. is a Vancouver, BC certified energy advisory firm based at 208-6628 Fraser St, registered with the Better Business Bureau. The company provides BC Energy Step Code compliance assessments, air leakage testing, and infrared thermography services for homeowners and builders. No AI product, platform, or research activity was identified; this is a traditional energy advisory practice.","Airtight Energy Reports Ltd. is a Vancouver, BC certified energy advisory firm based at 208-6628 Fraser St, registered with the Better Business Bureau. The company provides BC E...","","","","","/bc-ai-directory/organizations/airtight-energy-reports","2026-05-11"
"organization:aisix-solutions-tsx-aisx","aisix-solutions-tsx-aisx","AISIX Solutions","AISIX Solutions is a Vancouver climate-risk intelligence company using artificial intelligence, data analytics, and geospatial modelling to support wildfire, flood, heat, and climate-risk decisions.","AISIX Solutions is a Vancouver climate-risk intelligence company using artificial intelligence, data analytics, and geospatial modelling to support wildfire, flood, heat, and cl...","Climate AI|Geospatial intelligence|Risk analytics","Vancouver, BC","climate-risk|geospatial-ai|public-company|risk-analytics|wildfire","https://www.aisix.ca","/bc-ai-directory/organizations/aisix-solutions-tsx-aisx","2026-05-08"
"organization:aiyarise-intelligence-inc","aiyarise-intelligence-inc","Aiyarise Intelligence Inc","Aiyarise Intelligence Inc is a Victoria, BC AI governance and advisory firm for the architecture, engineering, and construction sector. Its public materials describe AI readiness, strategy, workshops, implementation oversight, and responsible AI governance for built-environment teams.","Aiyarise Intelligence Inc is a Victoria, BC AI governance and advisory firm for the architecture, engineering, and construction sector. Its public materials describe AI readines...","AEC technology|AI governance|Consulting","Victoria, BC","aec|ai-governance|ai-strategy|responsible-ai","https://aiyarise.com","/bc-ai-directory/organizations/aiyarise-intelligence-inc","2026-05-08"
